variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
SubjectAssertion_id,Autocreated FK slot,string,,,,,Foreign Key: SubjectAssertion.id,not_null
source_data_id,The sources from which this assertion was derived,string,,,,,Foreign Key: SourceData.id,not_null
