variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
Family_id,Autocreated FK slot,string,,,,,Foreign Key: Family.id,not_null
family_relationships_id,Family relationships associated with this family.,string,,,,,Foreign Key: FamilyRelationship.id,not_null
