variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
AccessPolicy_id,Autocreated FK slot,string,,,,,Foreign Key: AccessPolicy.id,not_null
access_policy_code,Access Policy Code,enumeration,,,,gru;hmb;ds;irb;pub;col;npu;mds;gso;gsr,,not_null|accepted_values 
