variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
parent_study_id,Parent Study ID,string,,,,,Foreign Key: Study.id,
study_title,Study Title,string,,,,,,not_null
id,ID associated with a class,string,,,,,,not_null
