variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
Sample_id,Autocreated FK slot,string,,,,,Foreign Key: Sample.id,not_null
storage_method,"Sample storage method, eg, Frozen or with additives",string,,,,,,
