variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
File_id,Autocreated FK slot,string,,,,,Foreign Key: File.id,not_null
sample_id,The Samples(s) used to generate data in this file.,string,,,,,Foreign Key: Sample.id,not_null
