variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
Demographics_id,Autocreated FK slot,string,,,,,Foreign Key: Demographics.id,not_null
race,Reported race as defined by the 1997 OMB directives.,enumeration,,,,american_indian_or_alaskan_native;asian;black_or_african_american;native_hawaiian_or_pacific_islander;white;other_race;unknown;asked_but_unknown,,not_null|accepted_values
