variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
File_id,Autocreated FK slot,string,,,,,Foreign Key: File.id,not_null
subject_id,The Subject(s) which this file describes.,string,,,,,Foreign Key: Subject.id,not_null
