variable_name,variable_description,data_type,min,max,units,enumerations,comment,tests
Family_id,Autocreated FK slot,string,,,,,Foreign Key: Family.id,not_null
external_id,"Other identifiers for this entity, eg, from the submitting study or in systems link dbGaP",string,,,,,,
